名称	ItemGenre	DetailType	ParticularType	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	脚本名(参数1)	技能ID(参数1)	参数2(释法类型)	参数3(是否广播)	参数4(是否有等级概念)	参数5(是否快捷键废)	使用后是否消失	金币	是否可放快捷栏	是否有属性	是否立即使用	要求等级相同	要求五行相同	要求幸运相同	要求MagicLevel1相同	要求MagicLevel2相同	要求MagicLevel3相同	要求MagicLevel4相同	要求MagicLevel5相同	要求MagicLevel6相同
武林大会门派单项赛入场券-五毒	2	1	410	\spr\item\questkey\obj_item_lection02.spr	374	1	1	凭此可以在各个城市的武林大会官员处报名参加五毒单项赛		100	1	0	\script\mineitem\biwu_single.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会门派单项赛入场券-峨嵋	2	1	411	\spr\item\questkey\obj_item_lection02.spr	374	1	1	凭此可以在各个城市的武林大会官员处报名参加峨嵋单项赛		100	1	0	\script\mineitem\biwu_single.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会门派单项赛入场券-翠烟	2	1	412	\spr\item\questkey\obj_item_lection02.spr	374	1	1	凭此可以在各个城市的武林大会官员处报名参加翠烟单项赛		100	1	0	\script\mineitem\biwu_single.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会门派单项赛入场券-丐帮	2	1	413	\spr\item\questkey\obj_item_lection02.spr	374	1	1	凭此可以在各个城市的武林大会官员处报名参加丐帮单项赛		100	1	0	\script\mineitem\biwu_single.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会门派单项赛入场券-天忍	2	1	414	\spr\item\questkey\obj_item_lection02.spr	374	1	1	凭此可以在各个城市的武林大会官员处报名参加天忍单项赛		100	1	0	\script\mineitem\biwu_single.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会门派单项赛入场券-武当	2	1	415	\spr\item\questkey\obj_item_lection02.spr	374	1	1	凭此可以在各个城市的武林大会官员处报名参加武当单项赛		100	1	0	\script\mineitem\biwu_single.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会门派单项赛入场券-昆仑	2	1	416	\spr\item\questkey\obj_item_lection02.spr	374	1	1	凭此可以在各个城市的武林大会官员处报名参加昆仑单项赛		100	1	0	\script\mineitem\biwu_single.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会双人赛入场券	2	1	417	\spr\item\songjin\rescript.spr	383	1	1	凭此可以在各个城市的武林大会官员处报名参加双人赛		100	1	0	\script\mineitem\biwu_double.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会五行团队赛入场券	2	1	418	\spr\item\questkey\taskobj021.spr	41	1	1	凭此可以在各个城市的武林大会官员处报名参加五行团队赛		100	1	0	\script\mineitem\biwu_five.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会十全团队赛入场券	2	1	419	\spr\item\questkey\taskobj023.spr	41	1	1	凭此可以在各个城市的武林大会官员处报名参加十全团队赛		100	1	0	\script\mineitem\biwu_ten.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会16人团队赛入场券	2	1	420	\spr\item\questkey\taskobj126.spr	41	1	1	凭此可以在各个城市的武林大会官员处报名参加16人团队赛		100	1	0	\script\mineitem\biwu_sixteen.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会观众卡	2	1	421	\spr\item\questkey\card_all.spr	41	1	1	使用观众入场券,可以观看武林大会比赛		100	1	0	\script\mineitem\biwu_audience.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
小龙舟	2	1	422	\spr\item\questkey\dragonboat.spr	41	2	1	一条小龙舟,凭此可以报名参加初级赛龙舟或者找礼官换取豆沙粽子		100	1	0	\script\mineitem\dragonboat.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
传统龙舟	2	1	423	\spr\item\questkey\dragonboat.spr	41	2	1	一条传统龙舟,凭此可以报名参加高级赛龙舟或者找礼官换取香菇粽子		100	1	0	\script\mineitem\dragonboat.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
马头龙舟	2	1	424	\spr\item\questkey\dragonboat.spr	41	2	1	一条马头龙舟,凭此找礼官换取蛋黄粽子		100	1	0	\script\mineitem\dragonboat.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
鸟头龙舟	2	1	425	\spr\item\questkey\dragonboat.spr	41	2	1	一条鸟头龙舟,凭此找礼官随机换取仙草露、水晶、宝石、天山玉露一个		100	1	0	\script\mineitem\dragonboat.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
兽形龙舟	2	1	426	\spr\item\questkey\dragonboat.spr	41	2	1	一条兽形龙舟,凭此找礼官随机换取神秘矿石、5～8级玄晶矿石一颗		100	1	0	\script\mineitem\dragonboat.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
巨型龙舟	2	1	427	\spr\item\questkey\dragonboat.spr	41	2	1	一条巨型龙舟,凭此找礼官随机换取定国安邦、侠骨柔情黄金装备一件		100	1	0	\script\mineitem\dragonboat.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
龙头	2	1	428	\spr\item\questkey\dragonhead.spr	428	1	1	龙舟的头部,龙舟的制造材料之一<enter>右键使用可以查看龙舟制作公式		100	1	0	\script\mineitem\dragonboatstuff.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
龙身	2	1	429	\spr\item\questkey\dragonbody.spr	428	1	1	龙舟的主躯干,龙舟的制造材料之一<enter>右键使用可以查看龙舟制作公式		100	1	0	\script\mineitem\dragonboatstuff.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
龙骨	2	1	430	\spr\item\questkey\keel.spr	428	1	1	龙舟的脊梁、骨架,龙舟的制造材料之一<enter>右键使用可以查看龙舟制作公式		100	1	0	\script\mineitem\dragonboatstuff.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
龙尾	2	1	431	\spr\item\questkey\dragontail.spr	428	1	1	龙舟的尾部,龙舟的制造材料之一<enter>右键使用可以查看龙舟制作公式		100	1	0	\script\mineitem\dragonboatstuff.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
橹桨	2	1	432	\spr\item\questkey\oar.spr	428	1	1	龙舟的桨,龙舟的制造材料之一<enter>右键使用可以查看龙舟制作公式		100	1	0	\script\mineitem\dragonboatstuff.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
舵	2	1	433	\spr\item\questkey\helm.spr	428	1	1	龙舟的舵,龙舟的制造材料之一<enter>右键使用可以查看龙舟制作公式		100	1	0	\script\mineitem\dragonboatstuff.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
鼓	2	1	434	\spr\item\songjin\wardrum.spr	428	1	1	龙舟的鼓,龙舟的制造材料之一<enter>右键使用可以查看龙舟制作公式		100	1	0	\script\mineitem\dragonboatstuff.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
豆沙粽子	2	1	435	\spr\item\questkey\taskobj404.spr	366	1	1	吃后可以随机增加1w、2w或5w经验<enter>每在线1小时只能吃1个,吃满2000w点经验的粽子就不能再吃了<enter>吃粽子升级后,经验归零不累加		100	1	0	\script\mineitem\dousha.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
香菇粽子	2	1	436	\spr\item\questkey\taskobj404.spr	366	1	1	吃后可以随机增加5w、10w或25w经验<enter>每在线1小时只能吃1个,吃满2000w点经验的粽子就不能再吃了<enter>吃粽子升级后,经验归零不累加		100	1	0	\script\mineitem\xianggu.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
蛋黄粽子	2	1	437	\spr\item\questkey\taskobj404.spr	366	1	1	吃后可以随机增加15w、30w或75w经验<enter>每在线1小时只能吃1个,吃满2000w点经验的粽子就不能再吃了<enter>吃粽子升级后,经验归零不累加		100	1	0	\script\mineitem\yolk.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
回城符(无限使用)	2	1	438	\spr\item\special\Obj_TownPortal.spr	38	1	1	缩地大法,让你瞬间回到城镇.(可无限次使用)		100	1	0	\script\mineitem\townportal_ever.lua	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
心心相映符(无限使用)	2	1	439	\spr\item\obj_item_heart.spr	346	1	1	已婚人士使用此符可以立刻传送到自己的另一半身旁.(可无限次使用)		100	1	0	/script/mineitem/heartforever.lua	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
山河社稷图残片(100张)	2	1	440	\spr\item\questkey\obj_item_shanhe.spr	351	1	1	右键点击使用,使用者增加山河社稷土残片100张.<enter>可用于取消当前的野叟任务.		100	1	0	/script/mineitem/shanhe-canpian.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
黄金师徒卡	2	1	441	\spr\item\questkey\taskobj091.spr	38	1	1	80级以下角色用来拜师,80级以上角色用来收徒的卡片<enter><color=yellow>黄金师徒卡<color>除具普通师徒卡功能外<enter>徒弟使用还可令师徒都获得额外的奖励		100	1	0	\script\mineitem\card\card_shitu.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会比赛查询卡	2	1	442	\spr\item\questkey\obj_item_lection.spr	341	1	1	凭此卡可以查询武林大会总决赛中,选手自身的比赛信息,以及选手所在区服和其他区服的各种比赛信息.		100	1	0	\script\missions\finalmatch\npc\card_help.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会观众券	2	1	443	\spr\item\questkey\card_all.spr	41	1	1	右键点击使用武林大会观众券,自动获得武林大会总决赛观众名额,可以成功登陆武林大会决赛服务器.		100	1	0	\script\mineitem\biwu_watchcard.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
爱恋玫瑰花	2	1	444	\spr\item\questkey\flower.spr	330	1	1	情人节的甜蜜礼物,佩戴后可获得1小时幸运增加30点.		100	1	0	\script\mineitem\loverose.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
浓情巧克力	2	1	445	\spr\item\obj_item_gifts.spr	345	1	1	情人节的甜蜜礼物,品尝后可随机获得经验奖励,同时随机获得1～6级玄晶矿石一颗.		100	1	0	\script\mineitem\chocolate.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
月下老人	2	1	446	\spr\item\obj_item_gifts.spr	429	1	1	怪物死后随机出现的obj,点击后获得浓清巧克力.		100	1	0	\script\mineitem\matchmaker.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴1	2	1	447	\spr\item\script\item_huangjintupu.spr	38	1	1	去凤翔城外杀刺猬50只,同伴等级要求不低于5级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴2	2	1	448	\spr\item\script\item_huangjintupu.spr	38	1	1	去凤翔城外杀刺猬100只,同伴等级要求不低于5级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴3	2	1	449	\spr\item\script\item_huangjintupu.spr	38	1	1	去凤翔城外杀刺猬150只,同伴等级要求不低于5级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴4	2	1	450	\spr\item\script\item_huangjintupu.spr	38	1	1	去华山杀刺猬50只,同伴等级要求不低于5级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴5	2	1	451	\spr\item\script\item_huangjintupu.spr	38	1	1	去华山杀刺猬100只,同伴等级要求不低于5级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴6	2	1	452	\spr\item\script\item_huangjintupu.spr	38	1	1	去华山杀刺猬150只,同伴等级要求不低于5级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴7	2	1	453	\spr\item\script\item_huangjintupu.spr	38	1	1	去剑阁西北杀火狼50只,同伴等级要求不低于15级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴8	2	1	454	\spr\item\script\item_huangjintupu.spr	38	1	1	去剑阁西北杀火狼100只,同伴等级要求不低于15级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴9	2	1	455	\spr\item\script\item_huangjintupu.spr	38	1	1	去剑阁西北杀火狼150只,同伴等级要求不低于15级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴10	2	1	456	\spr\item\script\item_huangjintupu.spr	38	1	1	去金光洞迷宫杀草寇甲50个,同伴等级要求不低于25级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴11	2	1	457	\spr\item\script\item_huangjintupu.spr	38	1	1	去金光洞迷宫杀草寇甲100个,同伴等级要求不低于25级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴12	2	1	458	\spr\item\script\item_huangjintupu.spr	38	1	1	去金光洞迷宫杀草寇甲150个,同伴等级要求不低于25级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴13	2	1	459	\spr\item\script\item_huangjintupu.spr	38	1	1	去经皇洞迷宫杀土匪甲50个,同伴等级要求不低于35级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴14	2	1	460	\spr\item\script\item_huangjintupu.spr	38	1	1	去经皇洞迷宫杀土匪甲100个,同伴等级要求不低于35级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴15	2	1	461	\spr\item\script\item_huangjintupu.spr	38	1	1	去经皇洞迷宫杀土匪甲150个,同伴等级要求不低于35级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴16	2	1	462	\spr\item\script\item_huangjintupu.spr	38	1	1	去锁云洞迷宫杀山贼乙50个,同伴等级要求不低于35级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴17	2	1	463	\spr\item\script\item_huangjintupu.spr	38	1	1	去锁云洞迷宫杀山贼乙100个,同伴等级要求不低于35级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴18	2	1	464	\spr\item\script\item_huangjintupu.spr	38	1	1	去锁云洞迷宫杀山贼乙150个,同伴等级要求不低于35级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴19	2	1	465	\spr\item\script\item_huangjintupu.spr	38	1	1	去秦陵杀刺猬50只,同伴等级要求不低于15级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴20	2	1	466	\spr\item\script\item_huangjintupu.spr	38	1	1	去秦陵杀刺猬100只,同伴等级要求不低于15级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴21	2	1	467	\spr\item\script\item_huangjintupu.spr	38	1	1	去秦陵杀刺猬150只,同伴等级要求不低于15级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴22	2	1	468	\spr\item\script\item_huangjintupu.spr	38	1	1	去秦始皇陵地下一层杀铁爪50个,同伴等级要求不低于25级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴23	2	1	469	\spr\item\script\item_huangjintupu.spr	38	1	1	去秦始皇陵地下一层杀铁爪100个,同伴等级要求不低于25级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴24	2	1	470	\spr\item\script\item_huangjintupu.spr	38	1	1	去秦始皇陵地下一层杀铁爪150个,同伴等级要求不低于25级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴25	2	1	471	\spr\item\script\item_huangjintupu.spr	38	1	1	去秦始皇陵地下二层杀红蝠50只,同伴等级要求不低于65级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴26	2	1	472	\spr\item\script\item_huangjintupu.spr	38	1	1	去秦始皇陵地下二层杀红蝠50只,同伴等级要求不低于65级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴27	2	1	473	\spr\item\script\item_huangjintupu.spr	38	1	1	去秦始皇陵地下二层杀红蝠50只,同伴等级要求不低于65级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴28	2	1	474	\spr\item\script\item_huangjintupu.spr	38	1	1	去秦始皇陵地下三层杀木人50个,同伴等级要求不低于75级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴29	2	1	475	\spr\item\script\item_huangjintupu.spr	38	1	1	去秦始皇陵地下三层杀木人100个,同伴等级要求不低于75级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴30	2	1	476	\spr\item\script\item_huangjintupu.spr	38	1	1	去秦始皇陵地下三层杀木人150个,同伴等级要求不低于75级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴31	2	1	477	\spr\item\script\item_huangjintupu.spr	38	1	1	去冰河洞迷宫杀飞镰50个,同伴等级要求不低于75级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴32	2	1	478	\spr\item\script\item_huangjintupu.spr	38	1	1	去冰河洞迷宫杀飞镰100个,同伴等级要求不低于75级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴33	2	1	479	\spr\item\script\item_huangjintupu.spr	38	1	1	去冰河洞迷宫杀飞镰150个,同伴等级要求不低于75级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴34	2	1	480	\spr\item\script\item_huangjintupu.spr	38	1	1	去永乐镇外杀白猪50只,同伴等级要求不低于1级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴35	2	1	481	\spr\item\script\item_huangjintupu.spr	38	1	1	去永乐镇外杀白猪100只,同伴等级要求不低于1级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴36	2	1	482	\spr\item\script\item_huangjintupu.spr	38	1	1	去永乐镇外杀白猪150只,同伴等级要求不低于1级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴37	2	1	483	\spr\item\script\item_huangjintupu.spr	38	1	1	去长江源头杀恶尼50个,同伴等级要求不低于65级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴38	2	1	484	\spr\item\script\item_huangjintupu.spr	38	1	1	去长江源头杀恶尼100个,同伴等级要求不低于65级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴39	2	1	485	\spr\item\script\item_huangjintupu.spr	38	1	1	去长江源头杀恶尼150个,同伴等级要求不低于65级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴40	2	1	486	\spr\item\script\item_huangjintupu.spr	38	1	1	去雁石洞迷宫杀黑巾50个,同伴等级要求不低于75级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴41	2	1	487	\spr\item\script\item_huangjintupu.spr	38	1	1	去雁石洞迷宫杀黑巾100个,同伴等级要求不低于75级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴42	2	1	488	\spr\item\script\item_huangjintupu.spr	38	1	1	去雁石洞迷宫杀黑巾150个,同伴等级要求不低于75级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴43	2	1	489	\spr\item\script\item_huangjintupu.spr	38	1	1	去成都城外杀刺猬50只,同伴等级要求不低于5级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴44	2	1	490	\spr\item\script\item_huangjintupu.spr	38	1	1	去成都城外杀刺猬100只,同伴等级要求不低于5级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴45	2	1	491	\spr\item\script\item_huangjintupu.spr	38	1	1	去成都城外杀刺猬150只,同伴等级要求不低于5级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴46	2	1	492	\spr\item\script\item_huangjintupu.spr	38	1	1	去成都信相寺后院地道迷宫杀凶僧50个,同伴等级要求不低于45级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴47	2	1	493	\spr\item\script\item_huangjintupu.spr	38	1	1	去成都信相寺后院地道迷宫杀凶僧100个,同伴等级要求不低于45级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴48	2	1	494	\spr\item\script\item_huangjintupu.spr	38	1	1	去成都信相寺后院地道迷宫杀凶僧150个,同伴等级要求不低于45级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴49	2	1	495	\spr\item\script\item_huangjintupu.spr	38	1	1	去峨嵋派外杀马猴50只,同伴等级要求不低于5级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴50	2	1	496	\spr\item\script\item_huangjintupu.spr	38	1	1	去峨嵋派外杀马猴100只,同伴等级要求不低于5级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴51	2	1	497	\spr\item\script\item_huangjintupu.spr	38	1	1	去峨嵋派外杀马猴150只,同伴等级要求不低于5级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴52	2	1	498	\spr\item\script\item_huangjintupu.spr	38	1	1	去猛虎洞穴迷宫杀白煞虎50只,同伴等级要求不低于15级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴53	2	1	499	\spr\item\script\item_huangjintupu.spr	38	1	1	去猛虎洞穴迷宫杀白煞虎100只,同伴等级要求不低于15级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴54	2	1	500	\spr\item\script\item_huangjintupu.spr	38	1	1	去猛虎洞穴迷宫杀白煞虎150只,同伴等级要求不低于15级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴55	2	1	501	\spr\item\script\item_huangjintupu.spr	38	1	1	去剑阁西南杀刺猬50个,同伴等级要求不低于15级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴56	2	1	502	\spr\item\script\item_huangjintupu.spr	38	1	1	去剑阁西南杀刺猬100个,同伴等级要求不低于15级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴57	2	1	503	\spr\item\script\item_huangjintupu.spr	38	1	1	去剑阁西南杀刺猬150个,同伴等级要求不低于15级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴58	2	1	504	\spr\item\script\item_huangjintupu.spr	38	1	1	去江津村外杀白猪50只,同伴等级要求不低于1级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴59	2	1	505	\spr\item\script\item_huangjintupu.spr	38	1	1	去江津村外杀白猪100只,同伴等级要求不低于1级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴60	2	1	506	\spr\item\script\item_huangjintupu.spr	38	1	1	去江津村外杀白猪150只,同伴等级要求不低于1级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴61	2	1	507	\spr\item\script\item_huangjintupu.spr	38	1	1	去青城山杀金雕50只,同伴等级要求不低于35级.		100	1	0	\script\mineitem\reward_partner.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
